Instance,Makespan,all_time,solve_time
"JobShopInstance(name=LA21_S.txt, num_jobs=15, num_machines=10)",2182.5,0.0019676685333251953,0.002288818359375
"JobShopInstance(name=Ta33_F.txt, num_jobs=30, num_machines=15)",4926.0,0.00994253158569336,0.011029720306396484
"JobShopInstance(name=LA14_F.txt, num_jobs=20, num_machines=5)",1863.0,0.001531839370727539,0.0017688274383544922
"JobShopInstance(name=Ta27_F.txt, num_jobs=20, num_machines=20)",5380.0,0.006661176681518555,0.007373809814453125
"JobShopInstance(name=Ta55_F.txt, num_jobs=50, num_machines=15)",6905.0,0.024356603622436523,0.025696992874145508
"JobShopInstance(name=S6.1.txt, num_jobs=6, num_machines=6)",112.5,0.00031948089599609375,0.0004379749298095703
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",2045.5,0.0010280609130859375,0.0012214183807373047
"JobShopInstance(name=Ta72_F.txt, num_jobs=100, num_machines=20)",14014.0,0.12372446060180664,0.12744379043579102
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",1049.75,0.0005853176116943359,0.0007383823394775391
"JobShopInstance(name=Ta64_F.txt, num_jobs=50, num_machines=20)",8875.0,0.03336024284362793,0.03507518768310547
"JobShopInstance(name=LA25_S.txt, num_jobs=15, num_machines=10)",1921.25,0.002078533172607422,0.0024166107177734375
"JobShopInstance(name=Ta49_F.txt, num_jobs=30, num_machines=20)",8197.0,0.013553142547607422,0.014615774154663086
"JobShopInstance(name=Ta39_F.txt, num_jobs=30, num_machines=15)",4996.0,0.009641885757446289,0.010483264923095703
"JobShopInstance(name=Ta79_F.txt, num_jobs=100, num_machines=20)",13884.0,0.12241244316101074,0.12619328498840332
"JobShopInstance(name=Ta01_F.txt, num_jobs=15, num_machines=15)",3439.0,0.003015756607055664,0.0034637451171875
"JobShopInstance(name=ORB04_Z.txt, num_jobs=10, num_machines=10)",2035.5,0.0010292530059814453,0.0012278556823730469
"JobShopInstance(name=Ta48_F.txt, num_jobs=30, num_machines=20)",6236.0,0.013144731521606445,0.014182567596435547
"JobShopInstance(name=LA27_S.txt, num_jobs=20, num_machines=10)",2440.75,0.0032112598419189453,0.003638029098510742
